name,qualification,speciality,experience,languages,location,opd_timings,expertise,services,profile_url,hospital
Dr. Malyadri Paladugu,"MBBS, DNB, FIAGES, FALS (Oncology), MCh Surgical Oncology","Consultant Surgical Oncologist, Minimal Invasive Onco Surgeon",11 Yrs,"Telugu, Tamil, Kannada, Hindi, English, Malayalam",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Head & Neck Cancers, Breast Oncology & Oncoplasty, Thoracic Oncology, Gynaecological Cancers, Minimal Invasive Surgeries, Robotic Surgeries","Oral, Head & Neck Cancers, Thyroid Cancers, Breast Cancer & Breast Oncoplasty, Lung & Esophageal Cancers, Stomach & Colorectal Cancers, Gynaecological Cancers",https://www.yashodahospitals.com/doctor/hitec-city/surgical-oncology/dr-malyadri-paladugu/,Yashoda Hospital Hitec City
Dr. Manjunath Bale,"MS (AIIMS), MCh (AIIMS)",Consultant Robotic and Minimally Invasive Thoracic Surgeon,10 Yrs,"English, Hindi, Kannada, Telugu, Marathi",Hitec City,Day time OPD: MON – SAT      :  09:00 AM – 4:00 PM,"Uniportal Thoracic Surgery for Inflammatory Lung Conditions and Lung Cancer, Thymectomy (VATS/Robotic) for Myasthenia Gravis","Robotic Surgery, Uniportal & Multiportal VATS, Uniportal RATS, Repair of Chest Wall Deformities, Rib Fixation, Diaphragmatic Repair (VATS & Robotics)",https://www.yashodahospitals.com/doctor/hitec-city/thoracic-surgery/dr-manjunath-bale/,Yashoda Hospital Hitec City
Dr. Manoj Chandra,"MBBS, DNB (Neurosurgery)",Consultant Neurosurgeon (Brain and Spine Surgeon),9 Yrs,"Telugu, English, Urdu, Hindi",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 03:30 PM,"Neuro-oncology, Minimally Invasive Spine Surgery, Paediatric Neurosurgery, Pain Neurosurgery","Spine Surgery (Micro and Endoscopic), Neuro-oncology (Brain and Spine Tumours), Endoscopic Pituitary Tumour Surgery, Neurotrauma (Brain and Spine), Cerebrovascular and Skull Base Surgery, Stereotactic…",https://www.yashodahospitals.com/doctor/hitec-city/neuro-surgery/dr-manoj-chandra/,Yashoda Hospital Hitec City
Dr. Mohammad Anas,"MBBS, MD Pediatrics, DrNb Pediatric Neurology",Consultant Pediatric Neurologist,6 Yrs,"Hindi, Urdu, English & Telugu",Hitec City,Day time OPD: MON – SAT : 09:00 AM – 4:00 PM,"Neuromuscular Disorders, Neurometabolic Disorders, Neonatal Neurology","Developmental Delay, Epilepsy, Headache, Migraine, Cerebral Palsy, Neonatal Neurology",https://www.yashodahospitals.com/doctor/hitec-city/pediatric-neurology/dr-mohammad-anas/,Yashoda Hospital Hitec City
Dr. Muralinath Vukkadala,"MBBS, MD (Internal Medicine), DrNB (Nephrology)","Consultant Nephrologist & Renal Transplant Physician In-Charge, Renal Transplant Unit",5 Yrs,"Telugu, Hindi, Tamil, and English",Hitec City,Day time OPD: MON-SAT : 10:00 am – 4:00 pm,"High-Risk Renal Transplantation (ABO-Incompatible, Re-Transplant, Sensitized Recipients) , Transplant Immunosuppression Optimization & Graft Survival , Critical Care & ICU Nephrology , IgA Nephropathy…","Kidney Transplantation (Living & Deceased Donor) , ABO-Incompatible & Re-Transplant Management , Desensitization in sensitised recipients , Hemodialysis (HD) & Hemodiafiltration (HDF) , Continuous Ren…",https://www.yashodahospitals.com/doctor/hitec-city/nephrology/dr-muralinath-vukkadala/,Yashoda Hospital Hitec City
Dr. Naidu N. Bethune,"MD, DM",Sr. Consultant Medical Oncologist &Hematologist,21 Yrs,"Telugu, English, Hindi",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Gynecological Cancers, Breast Cancers, Lung Cancers, Gastrointestinal Malignancies, Head & Neck Cancers, Hematological Malignancies","Chemotherapy and Targeted Therapy for Solid Tumors, Immunotherapy, Stem Cell Transplantation, Treatment with Radiation Modalities, Bone Marrow Transplantatio",https://www.yashodahospitals.com/doctor/hitec-city/medical-oncology/dr-naidu-n-bethune/,Yashoda Hospital Hitec City
Dr. Nandury Eshwar Chandra,"MBBS, MD, DNB, FRCR, FICR","Sr. Consultant & Head, Department of Radiology",30 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,Expertise info not available,"Body CT, including CT Guided Interventions on 64 slice and 128 slice scanners, Neuroimaging including Myelography, Head and Spine CT, and CT Cisternography, Angiography including Cerebral, Thoracic, A…",https://www.yashodahospitals.com/doctor/hitec-city/radiology/dr-nandury-eshwar-chandra/,Yashoda Hospital Hitec City
Dr. Naveen Kumar Dhagudu,"MBBS, MD (Psychiatry) DM-Addiction Psychiatry (AIIMS, New Delhi) CISAM (Canada), AFAMS",Sr. Consultant Psychiatrist,18 Yrs,"Telugu, English, Hindi, Marathi",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Alcohol, Tobacco, Cannabis and Drug Use Treatment, Consultation and Liaison Psychiatry Practice, Child and Adolescent Behavioural Problems, Neuropsychiatry Conditions like Delirium and others, Suicida…","Assessment, Diagnosis, and Treatment of Psychiatric Conditions, Addiction Treatment Services, Consultation and Liaison Psychiatry Services, Pharmacotherapy, Psychotherapy and Psychoeducation Services,…",https://www.yashodahospitals.com/doctor/hitec-city/psychiatry/dr-naveen-kumar-dhagudu/,Yashoda Hospital Hitec City
Dr. Naveen Polavarapu,"MRCP (Lon, UK), FRCP (Glasgow, UK), CCT (Gastro, UK) Liver Transplant Fellow (Birmingham, UK)","Senior Consultant, Medical Gastroenterologist, Liver Specialist, Lead – Advanced Endoscopic Interventions & Training, Clinical Director",25 Yrs,"English, Hindi, Telugu",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 6:00 PM,"Liver, Pancreatic & Bile Duct Diseases, Transplant Hepatology, Complex Gastrointestinal Conditions, Advanced Endoscopic Procedures (ERCP, Spyglass Cholangioscopy, EFTR, EUS, Spiral Enteroscopy, Third …","Clinical Gastroenterology Services, Treatment & Management of Liver Diseases, Management of Pancreatic and Biliary Disorders, Advanced Endoscopic Interventions, Preventive & Screening Services, Pediat…",https://www.yashodahospitals.com/doctor/hitec-city/gastroenterology/dr-naveen-polavarapu/,Yashoda Hospital Hitec City
Dr. Navya KC,"MBBS, MD (OBG PGI, Chandigarh), DNB (OBG), Fellowship in Fetal Medicine (FMF-UK Accredited)",Consultant Fetal Medicine,11 Yrs,"English, Telugu, Tamil, Hindi, Punjabi",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Fetal Interventions, Genetic Diseases, Multiple Pregnancies, Preeclampsia Screening, Fetal Growth Restrictions, Building Awareness on Fetal Health, Fellowship Programs and Training Doctors in Fetal Me…","Fetal Scans:, Fetal Viability Scan, Advanced Fetal NT Scan (FMF First Trimester Risk Assessment, Double Marker Test & Quadruple Test), Advanced Anomaly Scans, Fetal Echocardiography (Advance Fe…",https://www.yashodahospitals.com/doctor/hitec-city/fetal-medicine/dr-navya-kc/,Yashoda Hospital Hitec City
Dr. Nikhil H. R,"MD (Radio Diagnosis), DrNB (Endovascular & Interventional Radiology), EBIR (Vienna)",Consultant Interventional Radiologist,9 Yrs,"English, Telugu, Hindi, Kannada, Tamil",Hitec City,Day time OPD: MON – SAT : 9:00 AM – 4:00 PM,"Interventional Neuroradiology, Gastrointestinal and Hepatobiliary Interventions, Interventional Oncology, Thoracic, Renal and Pelvic Interventions, Aortic and Peripheral Vascular Interventions","Neuro Interventions, Diagnostic Cerebral and Carotid Angiogram, Interventional Acute Stroke Management (Mechanical Thrombectomy with Stent Retrievers and Penumbra Aspiration System), Intracrani…",https://www.yashodahospitals.com/doctor/hitec-city/interventional-radiology/dr-nikhil-h-r/,Yashoda Hospital Hitec City
